City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Amaravati,2020-03-26,23.67,44.23,1.58,4.99,3.94,7.93,0.66,18.8,29.32,0.15,0.66,0.16,108.0,Moderate
Delhi,2017-12-06,120.91,210.21,23.19,51.02,68.08,45.92,1.65,20.88,43.68,2.94,8.36,0.12,330.0,Very Poor
Hyderabad,2016-04-29,40.1,85.11,8.83,32.79,28.28,33.59,0.48,6.71,31.34,0.44,3.01,0.37,99.0,Satisfactory
Amaravati,2019-07-09,11.3,31.96,4.61,23.47,16.32,1.62,0.28,17.09,27.47,0.11,0.82,0.15,37.0,Good
Hyderabad,2020-04-22,25.12,46.3,7.57,26.18,18.57,17.45,0.39,4.56,23.58,0.94,5.18,0.22,50.0,Good
Patna,2020-04-02,55.83,107.36,50.2,43.73,62.84,13.87,1.79,12.62,23.58,2.12,5.42,2.99,140.0,Moderate
Delhi,2018-03-13,109.22,245.66,41.54,56.5,73.67,42.23,1.54,17.22,43.79,1.87,4.78,0.0,241.0,Poor
Gurugram,2020-03-24,61.21,113.66,8.08,17.61,17.3,54.29,0.97,16.44,43.6,5.08,7.77,17.87,122.0,Moderate
Kolkata,2019-09-20,20.57,44.33,14.74,23.75,38.48,11.8,0.55,5.1,20.25,19.7,18.25,2.64,54.0,Satisfactory
Hyderabad,2016-01-12,129.67,103.49,18.62,22.42,39.3,10.33,1.39,7.62,49.16,1.79,10.55,2.19,219.0,Poor
Hyderabad,2018-12-26,67.91,119.15,5.14,36.25,23.04,12.18,0.69,6.85,39.08,1.84,11.39,1.27,136.0,Moderate
Visakhapatnam,2019-02-04,71.09,144.15,6.02,46.25,29.51,14.77,0.85,5.64,77.64,2.83,4.04,1.24,147.0,Moderate
Amritsar,2019-10-25,90.71,135.6,12.5,13.12,23.71,31.44,0.87,15.28,19.52,3.07,3.83,1.96,198.0,Moderate
Hyderabad,2017-03-24,54.59,135.47,10.5,42.79,11.92,19.77,0.17,11.49,64.9,0.11,1.25,0.32,148.0,Moderate
Amaravati,2019-01-01,83.17,140.9,6.56,83.38,49.69,15.16,1.09,30.85,24.84,0.1,0.21,0.11,183.0,Moderate
Amritsar,2020-03-26,22.63,72.7,17.79,11.82,27.96,11.84,0.73,7.16,32.26,1.41,1.72,2.0,66.0,Satisfactory
Amritsar,2017-12-30,133.75,254.85,6.72,28.81,35.53,3.51,2.0,3.58,19.5,8.93,11.08,9.95,283.0,Poor
Amaravati,2019-01-30,47.81,99.22,5.98,65.34,39.69,17.61,1.02,26.84,36.53,0.03,0.08,0.15,111.0,Moderate
Hyderabad,2020-02-12,56.38,105.86,11.99,36.64,27.32,16.47,0.6,5.87,27.5,0.72,4.37,0.12,94.0,Satisfactory
Amaravati,2020-06-10,10.18,25.24,8.5,15.4,15.51,9.51,0.59,13.75,40.65,0.09,1.21,0.17,58.0,Satisfactory
Gurugram,2020-06-04,58.03,143.56,5.26,17.88,13.04,9.73,0.87,5.78,52.81,5.4,3.36,2.05,130.0,Moderate
Kolkata,2019-09-27,19.27,33.53,10.16,22.59,32.53,12.21,0.53,4.82,18.09,24.31,22.17,2.16,48.0,Good
Visakhapatnam,2016-08-03,18.76,43.55,23.96,29.85,32.4,9.98,1.04,29.69,13.1,6.12,9.84,7.44,73.0,Satisfactory
Delhi,2015-11-05,161.78,234.94,44.61,63.78,97.34,45.99,1.76,21.21,75.71,4.34,18.32,1.63,388.0,Very Poor
Delhi,2020-01-20,142.18,225.67,30.68,38.21,49.07,39.27,1.39,9.65,24.64,3.9,19.39,0.22,282.0,Poor
Visakhapatnam,2020-05-10,16.51,58.2,0.85,24.04,13.44,9.09,0.11,6.41,24.02,3.84,9.44,3.0,46.0,Good
Delhi,2015-02-25,148.19,169.57,14.79,29.28,34.14,34.91,14.13,5.94,31.57,2.06,6.92,1.75,340.0,Very Poor
Chandigarh,2020-06-23,19.17,44.48,1.03,7.69,4.8,26.43,0.29,8.71,36.97,3.46,0.27,0.83,53.0,Satisfactory
Visakhapatnam,2020-01-06,48.21,87.02,2.89,21.46,13.76,12.39,0.96,9.91,64.14,3.4,5.32,0.75,72.0,Satisfactory
Visakhapatnam,2019-07-03,33.41,141.22,10.19,43.53,31.44,7.41,1.02,14.2,10.3,7.05,12.82,4.3,107.0,Moderate
Visakhapatnam,2019-03-16,28.18,95.94,5.96,25.99,18.67,8.88,0.59,8.67,18.53,0.94,1.5,0.16,107.0,Moderate
Delhi,2020-02-03,138.5,243.43,50.47,53.71,73.96,37.5,1.51,11.4,33.94,4.43,27.09,0.51,297.0,Poor
Amaravati,2020-02-27,38.85,67.95,2.65,13.49,9.33,14.82,0.86,22.27,43.97,0.28,1.8,0.16,73.0,Satisfactory
Chandigarh,2020-05-17,22.99,55.25,2.75,14.01,9.53,33.61,0.62,14.73,33.99,3.15,0.24,1.05,64.0,Satisfactory
Hyderabad,2017-12-14,66.12,120.92,2.4,39.48,22.84,18.6,0.92,7.88,48.56,3.19,12.58,3.88,132.0,Moderate
Hyderabad,2015-10-30,516.2,82.97,3.03,0.62,2.72,10.78,1.09,4.77,38.74,1.05,5.82,0.47,487.0,Severe
Visakhapatnam,2017-12-08,60.98,112.99,3.86,44.64,26.84,12.06,1.04,11.66,77.73,3.09,4.78,1.27,155.0,Moderate
Hyderabad,2020-04-11,23.99,43.01,10.56,27.24,21.24,13.54,0.38,6.21,23.3,1.17,7.4,0.35,55.0,Satisfactory
Visakhapatnam,2017-11-21,38.17,61.47,4.55,8.68,8.28,2.41,0.79,4.93,42.78,2.83,5.74,0.83,62.0,Satisfactory
Delhi,2018-06-04,64.42,179.31,14.32,30.68,38.57,49.08,0.81,8.14,57.03,2.13,3.41,0.0,170.0,Moderate
Kolkata,2019-11-16,86.92,170.48,67.18,59.83,122.19,26.43,1.33,10.57,36.57,15.17,40.21,4.52,187.0,Moderate
Visakhapatnam,2019-10-26,18.29,60.5,25.55,37.56,40.96,4.16,0.8,23.34,31.21,3.26,8.72,2.5,93.0,Satisfactory
Visakhapatnam,2017-01-24,55.47,103.58,23.55,56.26,44.97,14.51,1.31,6.47,55.26,11.25,15.29,10.55,108.0,Moderate
Chandigarh,2019-12-12,108.0,141.0,34.59,23.28,40.18,47.58,1.01,8.2,8.47,3.49,0.63,1.15,307.0,Very Poor
Chandigarh,2020-06-08,21.12,44.53,3.72,14.96,10.35,42.23,0.3,12.61,33.96,4.83,0.41,0.87,61.0,Satisfactory
Amaravati,2018-02-13,58.71,99.04,0.41,13.88,7.62,11.99,0.86,6.89,36.2,0.12,1.84,0.1,110.0,Moderate
Hyderabad,2018-12-20,44.72,93.15,10.97,43.69,30.84,9.49,0.67,11.57,22.1,2.87,33.51,9.98,76.0,Satisfactory
Delhi,2019-08-27,40.68,107.99,21.99,34.48,39.32,31.99,1.17,10.01,36.98,2.84,29.66,0.84,114.0,Moderate
Patna,2020-01-13,149.01,130.51,64.44,33.01,91.2,19.65,3.65,11.17,11.03,3.05,1.11,4.42,223.0,Poor
Delhi,2020-05-02,34.67,107.36,12.81,14.36,19.49,33.93,0.76,13.0,60.45,1.19,6.42,0.01,127.0,Moderate
Hyderabad,2017-07-04,15.53,48.65,7.46,13.28,6.56,3.57,0.15,13.54,29.3,0.07,0.45,0.18,57.0,Satisfactory
Hyderabad,2016-02-10,62.0,99.08,5.91,12.15,16.68,10.28,0.92,4.73,46.72,0.45,6.47,0.16,137.0,Moderate
Delhi,2017-12-20,283.24,410.74,44.05,66.41,5.96,78.25,1.91,25.0,67.35,4.65,14.07,0.05,378.0,Very Poor
Hyderabad,2018-09-08,21.61,55.67,4.94,18.35,13.78,16.15,0.33,9.3,19.94,0.5,4.43,0.39,62.0,Satisfactory
Hyderabad,2017-02-05,56.73,117.29,9.79,45.95,10.79,18.65,0.0,11.04,98.75,0.02,0.32,0.04,164.0,Moderate
Delhi,2019-02-07,65.65,107.83,12.05,30.8,27.94,37.84,0.84,11.12,30.25,2.15,16.32,2.96,233.0,Poor
Amaravati,2019-12-19,83.16,120.25,2.51,17.41,11.31,23.06,0.76,17.03,49.59,1.33,14.69,0.13,138.0,Moderate
Amaravati,2018-06-03,27.42,57.28,3.36,19.38,13.04,7.89,0.32,6.83,77.6,16.54,8.98,89.7,129.0,Moderate
Hyderabad,2016-03-26,61.09,106.24,5.46,11.4,15.49,10.35,0.91,4.08,49.85,0.93,4.36,1.21,134.0,Moderate
Kolkata,2020-01-30,56.91,118.12,23.53,36.89,60.37,24.69,0.81,8.57,31.85,23.23,29.03,2.09,102.0,Moderate
Chandigarh,2020-05-02,19.81,64.91,0.87,9.84,5.83,26.22,0.45,12.38,19.61,2.77,0.4,0.8,64.0,Satisfactory
Hyderabad,2017-11-25,70.91,133.01,5.34,37.5,24.28,16.11,0.71,13.35,68.38,2.3,17.66,1.8,140.0,Moderate
Hyderabad,2020-01-29,58.15,132.5,12.15,38.77,28.53,27.52,0.56,12.66,27.33,0.34,3.83,0.28,128.0,Moderate
Amaravati,2019-05-10,44.65,114.79,1.63,19.79,12.0,7.06,0.63,19.26,54.72,0.34,2.48,0.12,124.0,Moderate
Delhi,2019-01-30,206.14,334.21,61.02,63.7,89.54,42.99,1.76,24.75,35.84,5.45,42.52,0.71,342.0,Very Poor
Delhi,2020-06-16,39.87,107.99,7.35,24.58,19.98,32.62,0.88,12.08,51.4,1.99,19.29,0.51,126.0,Moderate
Delhi,2018-05-03,47.25,153.75,15.63,31.77,40.96,38.01,1.23,9.52,50.16,0.94,2.3,0.0,167.0,Moderate
Delhi,2015-03-03,83.49,112.1,16.23,23.75,30.88,16.04,11.72,5.07,20.83,2.13,8.11,2.41,266.0,Poor
Hyderabad,2018-06-24,16.99,37.87,3.05,20.56,13.25,13.2,0.23,6.42,19.13,0.26,2.86,0.26,41.0,Good
Hyderabad,2016-10-09,12.88,45.38,11.5,45.99,3.87,11.22,0.05,1.55,30.7,0.0,0.06,0.06,65.0,Satisfactory
Visakhapatnam,2016-09-26,36.71,64.6,26.67,36.36,39.43,8.64,1.3,19.0,25.59,6.74,13.52,10.04,89.0,Satisfactory
Hyderabad,2015-12-15,30.54,98.14,5.82,14.83,19.18,10.53,0.89,8.37,32.98,1.22,6.36,0.76,100.0,Satisfactory
Delhi,2015-10-20,198.1,336.47,91.29,74.62,155.1,36.75,2.17,16.73,101.74,9.5,38.8,1.96,428.0,Severe
Hyderabad,2018-08-20,13.19,31.47,5.97,21.95,15.99,17.78,0.27,5.98,14.53,0.5,2.58,0.16,47.0,Good
Hyderabad,2020-06-02,16.47,31.29,7.23,23.75,16.75,14.73,0.33,4.36,29.86,1.01,6.05,1.83,79.0,Satisfactory
Hyderabad,2019-10-01,39.12,62.5,14.7,21.75,20.19,8.78,0.67,3.03,17.28,0.76,5.99,1.36,87.0,Satisfactory
Visakhapatnam,2020-04-12,15.05,44.33,13.28,29.41,26.45,7.42,0.11,6.82,16.02,2.74,14.62,1.04,43.0,Good
Kolkata,2020-01-03,54.29,100.05,19.14,36.5,55.61,30.4,0.84,12.35,14.97,26.75,32.95,2.27,201.0,Poor
Delhi,2017-10-28,198.37,329.05,35.39,84.45,60.5,51.2,0.9,27.88,110.71,1.65,7.47,0.07,379.0,Very Poor
Amritsar,2019-10-07,34.53,75.78,10.57,11.41,20.97,30.69,0.23,3.05,36.75,3.45,1.15,2.0,94.0,Satisfactory
Amaravati,2019-05-18,35.3,89.42,0.8,17.33,9.84,4.32,0.47,17.09,44.47,0.06,1.16,0.11,95.0,Satisfactory
Visakhapatnam,2020-06-03,17.94,102.58,5.6,30.32,20.59,9.49,0.58,6.48,23.82,2.65,7.59,1.23,88.0,Satisfactory
Hyderabad,2017-03-18,67.57,186.0,20.68,52.24,17.22,33.02,0.2,21.64,34.77,0.33,4.68,3.14,146.0,Moderate
Delhi,2020-01-04,220.6,327.22,86.58,57.67,110.2,53.46,2.2,12.85,29.94,6.81,48.18,5.45,366.0,Very Poor
Delhi,2019-04-24,85.7,262.58,12.55,51.58,39.67,37.64,1.41,19.17,61.45,3.75,25.22,1.91,232.0,Poor
Hyderabad,2016-11-13,60.96,98.46,8.93,48.17,14.97,30.06,0.64,28.22,91.75,0.05,0.86,0.5,163.0,Moderate
Amaravati,2020-01-26,38.39,63.99,2.48,15.39,10.2,16.55,0.61,20.0,36.83,0.46,1.14,0.15,77.0,Satisfactory
Delhi,2019-04-13,55.93,175.93,15.35,37.89,35.19,33.66,1.06,20.82,45.3,2.42,25.55,0.47,175.0,Moderate
Visakhapatnam,2018-07-29,40.33,127.5,9.14,34.26,25.65,8.97,0.45,7.3,17.03,4.11,11.28,2.21,114.0,Moderate
Delhi,2019-12-10,236.4,363.3,85.62,72.63,115.07,59.1,2.41,12.49,38.14,6.87,50.04,3.14,377.0,Very Poor
Delhi,2015-03-26,109.78,217.9,24.1,33.02,44.26,28.0,12.67,9.3,40.0,6.64,10.31,2.53,358.0,Very Poor
Chandigarh,2019-10-21,53.79,117.94,11.51,5.22,11.97,6.14,0.54,10.41,19.03,4.71,0.3,3.57,111.0,Moderate
Hyderabad,2019-03-04,40.97,95.61,3.81,34.92,21.47,12.87,0.6,8.92,33.65,1.62,13.82,2.04,80.0,Satisfactory
Delhi,2018-03-17,81.57,170.16,21.81,32.61,44.69,33.72,1.09,13.63,37.89,1.73,2.68,0.0,218.0,Poor
Hyderabad,2016-03-29,58.28,101.14,5.44,11.1,15.26,10.12,1.12,3.25,50.93,0.86,3.61,0.84,123.0,Moderate
Visakhapatnam,2019-02-01,53.84,106.93,11.78,51.62,37.03,10.88,0.84,7.87,83.16,2.56,5.05,1.38,116.0,Moderate
Hyderabad,2019-08-11,17.37,49.51,3.48,16.94,11.86,11.66,0.37,11.43,18.34,0.1,0.7,0.06,50.0,Good
Delhi,2018-12-22,326.79,502.83,85.55,78.71,117.64,60.21,2.59,18.47,44.98,8.63,55.27,2.37,468.0,Severe
Delhi,2015-11-06,153.33,260.04,35.14,58.13,86.38,46.52,2.56,20.9,69.95,4.37,13.52,1.34,276.0,Poor
Delhi,2015-11-04,293.49,401.49,105.88,87.47,137.62,56.81,2.54,31.58,114.43,7.99,28.6,1.75,454.0,Severe
Chandigarh,2020-05-13,34.57,80.7,2.32,16.16,10.29,35.92,0.71,13.26,21.28,2.62,1.18,0.51,66.0,Satisfactory
Delhi,2018-11-22,139.02,292.92,91.36,74.93,120.74,42.27,2.09,16.89,37.22,6.05,56.92,0.92,317.0,Very Poor
Amaravati,2018-10-09,65.16,184.84,22.45,52.69,46.28,18.53,1.07,25.5,37.46,0.08,0.14,0.1,142.0,Moderate
Visakhapatnam,2018-08-04,53.49,166.88,17.65,46.16,38.91,10.33,0.67,6.51,18.95,6.15,23.18,4.99,142.0,Moderate
Visakhapatnam,2019-11-10,38.34,88.54,14.13,41.66,33.73,6.36,0.88,11.09,42.15,4.12,9.27,2.42,111.0,Moderate
Amaravati,2019-12-14,39.06,63.53,2.22,13.1,8.77,14.38,0.55,13.87,41.66,0.44,12.72,0.1,64.0,Satisfactory
Delhi,2019-12-14,78.59,128.36,26.2,41.29,43.17,38.62,1.18,9.04,22.94,3.38,25.36,0.5,179.0,Moderate
Amritsar,2020-01-30,27.36,57.69,10.0,10.35,19.39,11.8,0.55,6.8,31.21,1.69,1.81,1.96,60.0,Satisfactory
Hyderabad,2017-10-12,41.74,69.1,13.72,26.83,5.04,9.37,0.11,4.2,54.35,1.22,6.71,0.92,102.0,Moderate
Hyderabad,2018-02-14,50.52,100.95,4.19,44.77,22.99,35.31,0.76,8.3,46.28,1.98,9.6,2.19,100.0,Satisfactory
Amritsar,2019-05-19,49.54,105.25,14.5,9.31,23.29,7.51,0.9,22.3,26.86,4.09,2.13,9.87,100.0,Satisfactory
Amritsar,2018-02-13,16.26,52.61,12.77,28.35,40.12,12.94,0.44,2.75,12.28,8.89,6.54,4.98,66.0,Satisfactory
Delhi,2015-10-24,169.22,341.7,90.18,71.38,122.15,34.26,3.07,18.2,47.92,10.19,29.74,1.94,383.0,Very Poor
Hyderabad,2016-09-12,30.49,69.68,11.8,59.25,20.74,16.75,0.28,12.54,15.39,0.08,1.34,5.74,65.0,Satisfactory
Visakhapatnam,2017-04-08,45.08,98.0,17.0,18.38,23.54,9.31,1.71,15.15,16.39,4.09,9.1,2.54,149.0,Moderate
Chandigarh,2020-02-12,54.47,114.12,3.68,15.96,11.31,32.97,0.65,8.35,19.25,5.87,0.17,0.76,110.0,Moderate
Visakhapatnam,2019-03-25,36.77,89.98,15.7,35.59,31.69,7.68,0.83,4.85,15.33,2.95,7.09,0.88,99.0,Satisfactory
Delhi,2015-01-03,87.18,131.9,25.73,30.31,47.95,69.55,10.61,2.65,19.71,3.91,10.23,1.99,143.0,Moderate
Hyderabad,2018-04-04,44.94,91.88,4.18,39.39,24.13,15.22,0.72,5.82,50.85,1.04,3.64,1.55,101.0,Moderate
Hyderabad,2017-03-07,35.62,80.09,7.05,17.76,6.07,14.61,0.14,12.29,55.68,0.05,0.74,0.18,109.0,Moderate
Hyderabad,2017-10-07,22.6,46.38,18.91,24.12,12.33,12.27,0.57,7.36,43.87,2.21,10.84,2.64,94.0,Satisfactory
Hyderabad,2017-11-07,34.96,81.64,15.51,43.63,29.83,13.12,0.68,11.95,43.46,6.09,31.07,8.32,94.0,Satisfactory
Hyderabad,2015-11-01,31.56,94.33,2.95,0.71,1.98,12.02,1.02,6.96,37.57,1.32,7.15,1.35,188.0,Moderate
Hyderabad,2018-08-15,22.11,68.81,4.1,17.62,12.18,23.04,0.35,10.13,11.99,0.65,3.64,0.54,65.0,Satisfactory
Gurugram,2020-03-09,62.38,112.32,6.75,23.13,22.26,34.01,0.77,15.82,42.54,3.09,3.41,12.4,117.0,Moderate
Hyderabad,2019-06-06,35.67,104.77,1.72,23.98,14.13,13.39,0.43,4.84,52.02,0.9,5.41,0.38,103.0,Moderate
Delhi,2020-02-16,132.63,237.81,42.02,57.15,70.95,38.77,1.38,19.61,40.01,3.77,23.71,0.82,254.0,Poor
Visakhapatnam,2019-10-22,15.67,26.01,21.98,38.11,38.29,1.8,0.78,21.7,21.41,3.18,8.46,2.07,62.0,Satisfactory
Amritsar,2018-03-04,19.79,57.47,16.75,9.64,36.17,9.78,0.74,4.36,18.93,10.36,6.66,5.17,64.0,Satisfactory
Hyderabad,2016-02-25,53.47,101.93,5.49,10.41,14.59,10.48,0.9,5.88,43.55,0.82,4.75,0.79,113.0,Moderate
Kolkata,2019-08-09,21.7,45.74,7.96,20.52,26.26,9.3,0.48,8.29,17.08,13.57,7.97,2.71,43.0,Good
Kolkata,2020-04-19,13.35,31.37,3.83,8.77,12.64,13.4,0.32,8.07,51.59,1.06,5.73,0.28,67.0,Satisfactory
Amritsar,2019-08-22,34.69,70.15,12.91,8.91,21.82,10.92,0.22,6.12,22.01,2.63,1.13,2.0,77.0,Satisfactory
Delhi,2019-12-30,333.43,486.35,54.97,55.61,79.04,50.75,2.24,11.15,26.44,8.0,47.12,0.72,506.0,Severe
Delhi,2019-07-17,32.06,67.73,11.08,28.44,26.68,25.91,1.03,8.91,31.48,2.24,22.46,0.11,92.0,Satisfactory
Visakhapatnam,2019-05-27,31.75,127.6,7.55,34.42,24.46,3.11,0.79,6.71,32.66,2.08,2.7,0.63,120.0,Moderate
Hyderabad,2019-08-27,18.86,65.41,3.16,15.9,9.84,11.57,0.38,7.78,22.29,0.17,1.43,0.07,65.0,Satisfactory
Visakhapatnam,2019-05-28,39.54,117.65,12.21,51.29,37.33,1.9,1.06,18.0,29.81,3.99,6.75,1.6,106.0,Moderate
Kolkata,2019-06-30,47.54,82.48,12.15,25.12,36.89,8.65,0.74,3.3,18.37,16.23,11.82,4.32,98.0,Satisfactory
Amaravati,2018-07-28,17.74,80.26,10.41,20.1,19.29,18.23,0.49,10.98,27.33,0.2,0.19,0.1,57.0,Satisfactory
Hyderabad,2017-02-06,64.14,136.36,17.54,52.4,8.17,17.5,0.0,18.17,61.34,0.0,0.03,0.0,118.0,Moderate
Visakhapatnam,2019-12-09,12.79,48.71,6.63,30.6,21.67,6.12,0.91,9.02,42.0,3.15,7.48,1.61,63.0,Satisfactory
Amritsar,2019-12-08,67.0,114.79,11.94,12.9,21.4,5.63,0.74,12.39,20.02,3.23,3.99,1.98,123.0,Moderate
Hyderabad,2019-02-09,55.67,157.47,7.5,43.21,28.81,15.07,0.59,13.22,35.28,3.19,31.91,19.0,128.0,Moderate
Delhi,2017-09-26,66.12,114.15,23.12,27.52,18.35,34.54,0.6,7.13,30.45,0.25,1.38,0.13,131.0,Moderate
Delhi,2015-03-13,108.66,173.89,15.61,30.75,37.02,23.31,10.23,10.65,34.05,3.41,14.88,9.81,307.0,Very Poor
Visakhapatnam,2019-03-30,37.15,104.69,15.62,36.12,31.91,7.17,0.86,12.35,8.66,2.55,5.63,0.76,103.0,Moderate
Hyderabad,2017-08-24,23.63,60.91,6.7,17.43,7.09,5.14,0.21,4.59,31.39,0.55,2.48,1.74,72.0,Satisfactory
